key,source,Translation
61A6C598448FC2000472CAAD0FA16726, Battery,电池
D015228A40A78FA42B18F8B7B6DB61D4, Condition,状态
1DE742984A083081077685920991836F, Experimental,实验性
EFD7A1254F9C2C39CBFAEE957C07F225, Fuel,燃料
41D2BE0D4A950C71A37C9B992D537C6A, PSI,PSI
ConstructionMenu_PerSqM, per sq m.,每平方米
3A80B5934E262ED76E9ABDBA03914BE1, per sq. m.,每平方米
317AFAA04884CB2B9D2952864ECBCF67, to get a perk.,为了获得特技。
2744CE9C46C06ECF827A91B99798C44E,"""America"" Flag",“美国”国旗
18901C7B40CC7798041B4CBEAAC89294,"""Fair prices, always. That's Frank's promise!""",“价格总是公道的。这是弗兰克的承诺！”
C5EA20B94A9EB946E9D29EB2CFA07AC9,"""Fair prices, always. That's Frank's promise!""",“价格总是公道的。这是弗兰克的承诺！”
FDC848BF493383FA461F91853C6FC986,"""For God's sake, man!""",“看在老天爷份上，兄弟”
2ADAA88A4059DB75B4D45296CF22F2EC,"""Hand"" Grenade",手榴弹
AD2686BE44636AB1E2C11F8CE1680C55,"""Hand"" Grenade",手榴弹
88A3D7244F5A545FE49033B98A6486B8,"""In a wreck? Call Heck!""",“遇到事故了吗？请给赫克打电话！”
1527C4464C09D13AFE06E7B2EF2AECC6,"""Nectar"" Jar",喷雾器
BDF4AD254E0A7481F291B59BA3552E68,"""Private"" means the server won't appear in the server browser.",私有意味着服务器不会显示在服务器浏览器中.
B3F805674565E357DB9DA1B2AB45125E,"""You take a sip from your trusty canteen.""",你可以从可靠的水壶里喝一口.
C58E0F104DE4C48D0E5C88929CFCBB82,"""You take a sip from your trusty insulated canteen.""",从可靠的隔热水壶里喝一口.
3219A53F47D41C713877ABA84080DF3E,$,$
4591D096429DE63DC8C12A8A260A20DC,$1 CAD,$1 加元
C5573E2B4E362A799BD8BEB34A4F49AA,$1 USD,$1 美元
418C1A584A6F34B16EEDC1A811D73A7B,${Dollars},${Dollars}
2B9CA4A54895FAAB4F2C6E9F31F34902,(Almost) everything can be thrown.,（几乎）所有东西都可以扔掉。
7FCEE7394002353CCD52F69CD8FA1850,(Default is 0.06),（默认值为 0.06）
46F8943D40217862746ED5BEBCBDADFD,(Default is 0.3),（默认值为 0.3）
B8BCA7BB4D7F3AC12F9B9B8BA9D9AE3D,+1 day,+1 天
8B2D6F9646968758073D6BB3B5228040,+1 hour,+1 小时
D066EF1741868A90AAC07E8F6AC5D279,+1 month,+1 个月
933AF96E45192EBC3F1FC282283AC239,+1 year,+1 年
XPGainPerSecond,+{XP} {Stat}/second,+{XP} {Stat}/秒
1F3BC0D2437B4F3C5DF12DBC8A5F4C2B,-1 day,-1 天
4CF78DF745EF724ED5CCCD97AF405032,-1 hour,-1 小时
1486B205418C3DD4206458AF968F6A60,-1 month,-1 个月
69DCF22942B8ACE67D04A2BE047C93E9,-1 year,-1 年
08620FE74E4CE85733172B9A62BEA781,.357 Magnum Round,.357 马格南子弹
F56A8D994D65770E0E921184A70365C5,.38 Special Round,.38 特殊子弹
306B6FC440FEFE9C34BD2F94826EC324,.45 ACP Round,.45 ACP 弹
37B831BD40E5AC2D30B5279FB2BC0D0C,.50 BMG,.50 BMG
F79A15F549CB663A366DC6BC8381BC3D,/a - Speak to admins.,/a - 与管理员交谈.
A2AA2B2C490D6DA5B45A019748AEBDFF,/g - Speak to everyone on the server.,/g - 与服务器上的所有人交谈.
A0A0F3F04D6C9C8A2BE15CA1A37EDEBA,/l - Speak to people nearby you. This is the default option.,/l - 与附近的人交谈.这是默认选项.
11BEF6384961235E0218429BA70A1913,"/r - Speak over a radio, if you have one.","/r - 如果您有 Radio, 请通过 Radio 说话."
8C1ED8FD412633EA482715BF37F6DBBF,/w - Speak to people right beside you.,/w - 和旁边的人说话.
240B9554410291F327A0FDB0CBD09A49,/y - Yell to people distant from you.,/y - 向远处的人喊叫.
B9EF204747FF2F74AE51BA84854CFE47,0.017,0.017
4606B9ED421E5BB9097A02A4AA3BB3B9,0.018,0.018
